A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,32,1.8310546875E-6,5.859375E-5,-1.7518396156772948
0,1,0.03125,0.0078125,32,3.662109375E-6,1.171875E-4,-3.251288071876375
0,1,0.03125,0.015625,32,7.32421875E-6,2.34375E-4,-5.971330576997767
0,1,0.03125,0.03125,32,1.46484375E-5,4.6875E-4,-10.866312168223594
0,1,0.03125,0.0625,32,2.9296875E-5,9.375E-4,-19.745714568365713
0,1,0.03125,0.125,32,5.859375E-5,0.001875,-36.21803414760396
0,1,0.03125,0.25,32,1.171875E-4,0.00375,-64.41596245669345
0,1,0.03125,0.5,32,2.34375E-4,0.0075,-109.59770040169275
0,1,0.03125,1,32,4.6875E-4,0.015,-178.41620709850872
0,1,0.0625,0.00390625,32,3.662109375E-6,5.859375E-5,-3.479149225200448
0,1,0.0625,0.0078125,32,7.32421875E-6,1.171875E-4,-6.467789483795789
0,1,0.0625,0.015625,32,1.46484375E-5,2.34375E-4,-11.847463510854897
0,1,0.0625,0.03125,32,2.9296875E-5,4.6875E-4,-21.484060601785192
0,1,0.0625,0.0625,32,5.859375E-5,9.375E-4,-38.81966936020908
0,1,0.0625,0.125,32,1.171875E-4,0.001875,-69.92974087834253
0,1,0.0625,0.25,32,2.34375E-4,0.00375,-122.2928055321279
0,1,0.0625,0.5,32,4.6875E-4,0.0075,-202.62927535965338
0,1,0.0625,1,32,9.375E-4,0.015,-319.29320766922405
0,1,0.125,0.00390625,32,7.32421875E-6,5.859375E-5,-6.900456264439164
0,1,0.125,0.0078125,32,1.46484375E-5,1.171875E-4,-12.805653983314336
0,1,0.125,0.015625,32,2.9296875E-5,2.34375E-4,-23.186954296768846
0,1,0.125,0.03125,32,5.859375E-5,4.6875E-4,-41.799753693120664
0,1,0.125,0.0625,32,1.171875E-4,9.375E-4,-74.86615672591586
0,1,0.125,0.125,32,2.34375E-4,0.001875,-133.01805553641768
0,1,0.125,0.25,32,4.6875E-4,0.00375,-227.32910013612042
0,1,0.125,0.5,32,9.375E-4,0.0075,-366.3249074392147
0,1,0.125,1,32,0.001875,0.015,-562.5958515499509
0,1,0.25,0.00390625,32,1.46484375E-5,5.859375E-5,-13.632329335952278
0,1,0.25,0.0078125,32,2.9296875E-5,1.171875E-4,-25.161873926307173
0,1,0.25,0.015625,32,5.859375E-5,2.34375E-4,-45.2951322336893
0,1,0.25,0.03125,32,1.171875E-4,4.6875E-4,-80.30884928544788
0,1,0.25,0.0625,32,2.34375E-4,9.375E-4,-142.17160862284695
0,1,0.25,0.125,32,4.6875E-4,0.001875,-247.93794106737442
0,1,0.25,0.25,32,9.375E-4,0.00375,-413.63784926766965
0,1,0.25,0.5,32,0.001875,0.0075,-651.7730857110266
0,1,0.25,1,32,0.00375,0.015,-972.9871992672256
0,1,0.5,0.00390625,32,2.9296875E-5,5.859375E-5,-26.66700296063135
0,1,0.5,0.0078125,32,5.859375E-5,1.171875E-4,-48.64544380306201
