A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0,1,0.03125,0.00390625,64,1.83E-06,5.86E-05,-50.50852936
0,1,0.03125,0.0078125,64,3.66E-06,1.17E-04,-52.54157531
0,1,0.03125,0.015625,64,7.32E-06,2.34E-04,-52.21216657
0,1,0.03125,0.03125,64,1.46E-05,4.69E-04,-51.40898377
0,1,0.03125,0.0625,64,2.93E-05,9.38E-04,-54.04933717
0,1,0.03125,0.125,64,5.86E-05,0.001875,-61.33077174
0,1,0.03125,0.25,64,1.17E-04,0.00375,-80.13261038
0,1,0.03125,0.5,64,2.34E-04,0.0075,-112.5153477
0,1,0.03125,1,64,4.69E-04,0.015,-166.7779809
0,1,0.0625,0.00390625,64,3.66E-06,5.86E-05,-51.58162616
0,1,0.0625,0.0078125,64,7.32E-06,1.17E-04,-54.39560084
0,1,0.0625,0.015625,64,1.46E-05,2.34E-04,-55.51864681
0,1,0.0625,0.03125,64,2.93E-05,4.69E-04,-57.70311808
0,1,0.0625,0.0625,64,5.86E-05,9.38E-04,-66.40431871
0,1,0.0625,0.125,64,1.17E-04,0.001875,-85.99123635
0,1,0.0625,0.25,64,2.34E-04,0.00375,-124.9880313
0,1,0.0625,0.5,64,4.69E-04,0.0075,-190.8436696
0,1,0.0625,1,64,9.38E-04,0.015,-296.3789059
0,1,0.125,0.00390625,64,7.32E-06,5.86E-05,-53.69347989
0,1,0.125,0.0078125,64,1.46E-05,1.17E-04,-57.95421
0,1,0.125,0.015625,64,2.93E-05,2.34E-04,-61.97054387
0,1,0.125,0.03125,64,5.86E-05,4.69E-04,-70.21911634
0,1,0.125,0.0625,64,1.17E-04,9.38E-04,-91.60017345
0,1,0.125,0.125,64,2.34E-04,0.001875,-135.5921868
0,1,0.125,0.25,64,4.69E-04,0.00375,-215.4323865
0,1,0.125,0.5,64,9.38E-04,0.0075,-343.493705
0,1,0.125,1,64,0.001875,0.015,-534.5619139
0,1,0.25,0.00390625,64,1.46E-05,5.86E-05,-57.80622687
0,1,0.25,0.0078125,64,2.93E-05,1.17E-04,-64.96753405
0,1,0.25,0.015625,64,5.86E-05,2.34E-04,-74.87348201
0,1,0.25,0.03125,64,1.17E-04,4.69E-04,-96.01424919
0,1,0.25,0.0625,64,2.34E-04,9.38E-04,-144.0296507
0,1,0.25,0.125,64,4.69E-04,0.001875,-235.7924516
0,1,0.25,0.25,64,9.38E-04,0.00375,-390.8255614
0,1,0.25,0.5,64,0.001875,0.0075,-623.7581264
0,1,0.25,1,64,0.00375,0.015,-941.9591795
0,1,0.5,0.00390625,64,2.93E-05,5.86E-05,-65.76373244
0,1,0.5,0.0078125,64,5.86E-05,1.17E-04,-78.74875016
0,1,0.5,0.015625,64,1.17E-04,2.34E-04,-101.6075795
0,1,0.5,0.03125,64,2.34E-04,4.69E-04,-150.64329
0,1,0.5,0.0625,64,4.69E-04,9.38E-04,-250.5017412
0,1,0.5,0.125,64,9.38E-04,0.001875,-429.2737631
0,1,0.5,0.25,64,0.001875,0.00375,-711.275472
0,1,0.5,0.5,64,0.00375,0.0075,-1101.744844
0,1,0.5,1,64,0.0075,0.015,-1571.446056
0,1,1,0.00390625,64,5.86E-05,5.86E-05,-81.2263324
0,1,1,0.0078125,64,1.17E-04,1.17E-04,-106.9303033
0,1,1,0.015625,64,2.34E-04,2.34E-04,-157.654979
0,1,1,0.03125,64,4.69E-04,4.69E-04,-261.2964151
0,1,1,0.0625,64,9.38E-04,9.38E-04,-456.249735
0,1,1,0.125,64,0.001875,0.001875,-780.3157651
0,1,1,0.25,64,0.00375,0.00375,-1252.877199
0,1,1,0.5,64,0.0075,0.0075,-1833.422719
0,1,1,1,64,0.015,0.015,-2397.99231
0,2,0.03125,0.00390625,64,1.83E-06,5.86E-05,-47.15812654
0,2,0.03125,0.0078125,64,3.66E-06,1.17E-04,-50.51974961
0,2,0.03125,0.015625,64,7.32E-06,2.34E-04,-52.77695555
