n,A,E,dd,d,hh,h,V
3,0,4,0.08,6.00E-05,0.05,7.50E-04,-996.4323935
3,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-715.1532187
3,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-433.874044
3,0.75,4,0.08,6.00E-05,0.05,7.50E-04,-152.5948692
3,1,4,0.08,6.00E-05,0.05,7.50E-04,128.6843056
5,0,4,0.08,6.00E-05,0.05,7.50E-04,-645.953502
5,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-451.2408947
5,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-256.5282873
5,0.75,4,0.08,6.00E-05,0.05,7.50E-04,-61.81567997
5,1,4,0.08,6.00E-05,0.05,7.50E-04,132.8969274
6,0,4,0.08,6.00E-05,0.05,7.50E-04,-552.5203214
6,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-380.7676174
6,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-209.0149133
6,0.75,4,0.08,6.00E-05,0.05,7.50E-04,-37.26220929
6,1,4,0.08,6.00E-05,0.05,7.50E-04,134.4904948
7,0,4,0.08,6.00E-05,0.05,7.50E-04,-483.9500108
7,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-328.9890947
7,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-174.0281785
7,0.75,4,0.08,6.00E-05,0.05,7.50E-04,-19.0672624
7,1,4,0.08,6.00E-05,0.05,7.50E-04,135.8936537
9,0,4,0.08,6.00E-05,0.05,7.50E-04,-390.0401151
9,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-257.9689271
9,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-125.8977392
9,0.75,4,0.08,6.00E-05,0.05,7.50E-04,6.17344884
9,1,4,0.08,6.00E-05,0.05,7.50E-04,138.2446368
10,0,4,0.08,6.00E-05,0.05,7.50E-04,-356.0889023
10,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-232.2483863
10,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-108.4078703
10,0.75,4,0.08,6.00E-05,0.05,7.50E-04,15.43264567
10,1,4,0.08,6.00E-05,0.05,7.50E-04,139.2731617
12,0,4,0.08,6.00E-05,0.05,7.50E-04,-304.1886861
12,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-192.8739267
12,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-81.5591672
12,0.75,4,0.08,6.00E-05,0.05,7.50E-04,29.75559226
12,1,4,0.08,6.00E-05,0.05,7.50E-04,141.0703517
14,0,4,0.08,6.00E-05,0.05,7.50E-04,-265.8681672
14,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-163.7386418
14,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-61.60911642
14,0.75,4,0.08,6.00E-05,0.05,7.50E-04,40.52040899
14,1,4,0.08,6.00E-05,0.05,7.50E-04,142.6499344
18,0,4,0.08,6.00E-05,0.05,7.50E-04,-213.5816465
18,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-123.8923735
18,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-34.20310049
18,0.75,4,0.08,6.00E-05,0.05,7.50E-04,55.4861725
18,1,4,0.08,6.00E-05,0.05,7.50E-04,145.1754455
20,0,4,0.08,6.00E-05,0.05,7.50E-04,-194.6984115
20,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-109.4643939
20,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-24.23037632
20,0.75,4,0.08,6.00E-05,0.05,7.50E-04,61.00364124
20,1,4,0.08,6.00E-05,0.05,7.50E-04,146.2376588
24,0,4,0.08,6.00E-05,0.05,7.50E-04,-165.9991588
24,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-87.48575927
24,0.5,4,0.08,6.00E-05,0.05,7.50E-04,-8.972359785
24,0.75,4,0.08,6.00E-05,0.05,7.50E-04,69.5410397
24,1,4,0.08,6.00E-05,0.05,7.50E-04,148.0544392
36,0,4,0.08,6.00E-05,0.05,7.50E-04,-117.5223631
36,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-50.18766757
36,0.5,4,0.08,6.00E-05,0.05,7.50E-04,17.14702793
36,0.75,4,0.08,6.00E-05,0.05,7.50E-04,84.48172343
36,1,4,0.08,6.00E-05,0.05,7.50E-04,151.8164189
40,0,4,0.08,6.00E-05,0.05,7.50E-04,-107.616798
40,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-42.52196383
40,0.5,4,0.08,6.00E-05,0.05,7.50E-04,22.57287036
40,0.75,4,0.08,6.00E-05,0.05,7.50E-04,87.66770456
40,1,4,0.08,6.00E-05,0.05,7.50E-04,152.7625388
48,0,4,0.08,6.00E-05,0.05,7.50E-04,-93.47285842
48,0.25,4,0.08,6.00E-05,0.05,7.50E-04,-31.56817407
48,0.5,4,0.08,6.00E-05,0.05,7.50E-04,30.33651028
48,0.75,4,0.08,6.00E-05,0.05,7.50E-04,92.24119462
48,1,4,0.08,6.00E-05,0.05,7.50E-04,154.145879
