n,A,E,dd,d,hh,h,V
3,0,1.5,0.075,0.00002250 ,0.02,0.000300 ,-23.3337790546201000 
3,0.25,1.5,0.075,0.00002250 ,0.02,0.000300 ,34.2210597341546000 
3,0.5,1.5,0.075,0.00002250 ,0.02,0.000300 ,91.7758985229430000 
3,0.75,1.5,0.075,0.00002250 ,0.02,0.000300 ,149.3307373117130000 
3,1,1.5,0.075,0.00002250 ,0.02,0.000300 ,206.8855761005090000 
3,0,6,0.05,0.00000750 ,0.01,0.000150 ,-8.2940514758852100 
3,0.25,6,0.05,0.00000750 ,0.01,0.000150 ,0.7301122761694790 
3,0.5,6,0.05,0.00000750 ,0.01,0.000150 ,9.7542760282234800 
3,0.75,6,0.05,0.00000750 ,0.01,0.000150 ,18.7784397802775000 
3,1,6,0.05,0.00000750 ,0.01,0.000150 ,27.8026035323327000 
3,0,8,0.15,0.00009000 ,0.04,0.000600 ,-94.6430394188575000 
3,0.25,8,0.15,0.00009000 ,0.04,0.000600 ,-50.8519211932179000 
3,0.5,8,0.15,0.00009000 ,0.04,0.000600 ,-7.0608029675872300 
3,0.75,8,0.15,0.00009000 ,0.04,0.000600 ,36.7303152580482000 
3,1,8,0.15,0.00009000 ,0.04,0.000600 ,80.5214334836784000 
4,0,1.5,0.075,0.00002250 ,0.02,0.000300 ,-23.0425966511536000 
4,0.25,1.5,0.075,0.00002250 ,0.02,0.000300 ,33.7332395183960000 
4,0.5,1.5,0.075,0.00002250 ,0.02,0.000300 ,90.5090756879846000 
4,0.75,1.5,0.075,0.00002250 ,0.02,0.000300 ,147.2849118575310000 
4,1,1.5,0.075,0.00002250 ,0.02,0.000300 ,204.0607480271440000 
4,0,6,0.05,0.00000750 ,0.01,0.000150 ,-8.2641021383063300 
4,0.25,6,0.05,0.00000750 ,0.01,0.000150 ,0.7344756295728580 
4,0.5,6,0.05,0.00000750 ,0.01,0.000150 ,9.7330533974515800 
4,0.75,6,0.05,0.00000750 ,0.01,0.000150 ,18.7316311653291000 
4,1,6,0.05,0.00000750 ,0.01,0.000150 ,27.7302089332068000 
4,0,8,0.15,0.00009000 ,0.04,0.000600 ,-93.5674793662775000 
4,0.25,8,0.15,0.00009000 ,0.04,0.000600 ,-50.1899385980085000 
4,0.5,8,0.15,0.00009000 ,0.04,0.000600 ,-6.8123978297324300 
4,0.75,8,0.15,0.00009000 ,0.04,0.000600 ,36.5651429385401000 
4,1,8,0.15,0.00009000 ,0.04,0.000600 ,79.9426837068143000 
7,0,1.5,0.075,0.00002250 ,0.02,0.000300 ,-22.2685146030055000 
7,0.25,1.5,0.075,0.00002250 ,0.02,0.000300 ,32.5070306224702000 
7,0.5,1.5,0.075,0.00002250 ,0.02,0.000300 ,87.2825758479484000 
7,0.75,1.5,0.075,0.00002250 ,0.02,0.000300 ,142.0581210734370000 
