n,A,d,h,V
3,0,1.17E-04,9.38E-04,-1185.283947
3,0.25,1.17E-04,9.38E-04,-769.4184404
3,0.5,1.17E-04,9.38E-04,-353.5529336
3,0.75,1.17E-04,9.38E-04,62.31257323
3,1,1.17E-04,9.38E-04,478.17808
5,0,1.17E-04,9.38E-04,-753.2996318
5,0.25,1.17E-04,9.38E-04,-444.7631117
5,0.5,1.17E-04,9.38E-04,-136.2265917
5,0.75,1.17E-04,9.38E-04,172.3099284
5,1,1.17E-04,9.38E-04,480.8464484
6,0,1.17E-04,9.38E-04,-637.6789324
6,0.25,1.17E-04,9.38E-04,-357.8901398
6,0.5,1.17E-04,9.38E-04,-78.10134728
6,0.75,1.17E-04,9.38E-04,201.6874453
6,1,1.17E-04,9.38E-04,481.4762378
7,0,1.17E-04,9.38E-04,-553.4910594
7,0.25,1.17E-04,9.38E-04,-294.6321403
7,0.5,1.17E-04,9.38E-04,-35.77322121
7,0.75,1.17E-04,9.38E-04,223.0856979
7,1,1.17E-04,9.38E-04,481.944617
9,0,1.17E-04,9.38E-04,-438.4857176
9,0.25,1.17E-04,9.38E-04,-208.2385596
9,0.5,1.17E-04,9.38E-04,22.00859845
9,0.75,1.17E-04,9.38E-04,252.2557565
9,1,1.17E-04,9.38E-04,482.5029145
10,0,1.17E-04,9.38E-04,-397.692844
10,0.25,1.17E-04,9.38E-04,-177.6090116
10,0.5,1.17E-04,9.38E-04,42.47482081
10,0.75,1.17E-04,9.38E-04,262.5586532
10,1,1.17E-04,9.38E-04,482.6424856
12,0,1.17E-04,9.38E-04,-335.6275412
12,0.25,1.17E-04,9.38E-04,-130.9990955
12,0.5,1.17E-04,9.38E-04,73.62935012
12,0.75,1.17E-04,9.38E-04,278.2577958
12,1,1.17E-04,9.38E-04,482.8862415
14,0,1.17E-04,9.38E-04,-290.8401234
14,0.25,1.17E-04,9.38E-04,-97.40598496
14,0.5,1.17E-04,9.38E-04,96.02815349
14,0.75,1.17E-04,9.38E-04,289.4622919
14,1,1.17E-04,9.38E-04,482.8964304
18,0,1.17E-04,9.38E-04,-230.5154111
18,0.25,1.17E-04,9.38E-04,-52.23375231
18,0.5,1.17E-04,9.38E-04,126.0479064
18,0.75,1.17E-04,9.38E-04,304.3295652
18,1,1.17E-04,9.38E-04,482.6112239
20,0,1.17E-04,9.38E-04,-209.509038
20,0.25,1.17E-04,9.38E-04,-36.5169592
20,0.5,1.17E-04,9.38E-04,136.4751196
20,0.75,1.17E-04,9.38E-04,309.4671984
20,1,1.17E-04,9.38E-04,482.4592772
24,0,1.17E-04,9.38E-04,-178.2876251
24,0.25,1.17E-04,9.38E-04,-13.2604132
24,0.5,1.17E-04,9.38E-04,151.7667987
24,0.75,1.17E-04,9.38E-04,316.7940107
24,1,1.17E-04,9.38E-04,481.8212226
36,0,1.17E-04,9.38E-04,-128.3154071
36,0.25,1.17E-04,9.38E-04,23.65510161
36,0.5,1.17E-04,9.38E-04,175.6256103
36,0.75,1.17E-04,9.38E-04,327.596119
36,1,1.17E-04,9.38E-04,479.5666277
40,0,1.17E-04,9.38E-04,-118.8940863
40,0.25,1.17E-04,9.38E-04,30.55664957
40,0.5,1.17E-04,9.38E-04,180.0073855
40,0.75,1.17E-04,9.38E-04,329.4581214
40,1,1.17E-04,9.38E-04,478.9088573
48,0,1.17E-04,9.38E-04,-105.3765086
48,0.25,1.17E-04,9.38E-04,40.3652673
48,0.5,1.17E-04,9.38E-04,186.1070432
48,0.75,1.17E-04,9.38E-04,331.8488191
48,1,1.17E-04,9.38E-04,477.590595
