n,A,d,h,V
3,0,1.17E-04,9.38E-04,-101.8324309
3,0.25,1.17E-04,9.38E-04,122.1137383
3,0.5,1.17E-04,9.38E-04,346.0599076
3,0.75,1.17E-04,9.38E-04,570.0060768
3,1,1.17E-04,9.38E-04,793.952246
5,0,1.17E-04,9.38E-04,-96.11208491
5,0.25,1.17E-04,9.38E-04,113.4393101
5,0.5,1.17E-04,9.38E-04,322.9907051
5,0.75,1.17E-04,9.38E-04,532.5421002
5,1,1.17E-04,9.38E-04,742.0934952
6,0,1.17E-04,9.38E-04,-93.87670141
6,0.25,1.17E-04,9.38E-04,110.0137011
6,0.5,1.17E-04,9.38E-04,313.9041036
6,0.75,1.17E-04,9.38E-04,517.7945062
6,1,1.17E-04,9.38E-04,721.6849087
7,0,1.17E-04,9.38E-04,-91.97600796
7,0.25,1.17E-04,9.38E-04,107.0152808
7,0.5,1.17E-04,9.38E-04,306.0065695
7,0.75,1.17E-04,9.38E-04,504.9978583
7,1,1.17E-04,9.38E-04,703.989147
9,0,1.17E-04,9.38E-04,-88.85925783
9,0.25,1.17E-04,9.38E-04,102.0196811
9,0.5,1.17E-04,9.38E-04,292.89862
9,0.75,1.17E-04,9.38E-04,483.7775589
9,1,1.17E-04,9.38E-04,674.6564977
10,0,1.17E-04,9.38E-04,-87.54541337
10,0.25,1.17E-04,9.38E-04,99.92558026
10,0.5,1.17E-04,9.38E-04,287.3965739
10,0.75,1.17E-04,9.38E-04,474.8675675
10,1,1.17E-04,9.38E-04,662.3385611
12,0,1.17E-04,9.38E-04,-85.29738541
12,0.25,1.17E-04,9.38E-04,96.31695718
12,0.5,1.17E-04,9.38E-04,277.9312998
12,0.75,1.17E-04,9.38E-04,459.5456424
12,1,1.17E-04,9.38E-04,641.1599849
14,0,1.17E-04,9.38E-04,-83.53378713
14,0.25,1.17E-04,9.38E-04,93.25354489
14,0.5,1.17E-04,9.38E-04,270.0408769
14,0.75,1.17E-04,9.38E-04,446.8282089
14,1,1.17E-04,9.38E-04,623.615541
18,0,1.17E-04,9.38E-04,-80.66982326
18,0.25,1.17E-04,9.38E-04,88.46252016
18,0.5,1.17E-04,9.38E-04,257.5948636
18,0.75,1.17E-04,9.38E-04,426.727207
18,1,1.17E-04,9.38E-04,595.8595504
20,0,1.17E-04,9.38E-04,-79.46190619
20,0.25,1.17E-04,9.38E-04,86.59999763
20,0.5,1.17E-04,9.38E-04,252.6619014
20,0.75,1.17E-04,9.38E-04,418.7238053
20,1,1.17E-04,9.38E-04,584.7857091
24,0,1.17E-04,9.38E-04,-77.62539265
24,0.25,1.17E-04,9.38E-04,83.3928337
24,0.5,1.17E-04,9.38E-04,244.4110601
24,0.75,1.17E-04,9.38E-04,405.4292864
24,1,1.17E-04,9.38E-04,566.4475127
36,0,1.17E-04,9.38E-04,-73.83220387
36,0.25,1.17E-04,9.38E-04,77.37330583
36,0.5,1.17E-04,9.38E-04,228.5788155
36,0.75,1.17E-04,9.38E-04,379.7843252
36,1,1.17E-04,9.38E-04,530.9898349
40,0,1.17E-04,9.38E-04,-72.96599919
40,0.25,1.17E-04,9.38E-04,76.10240942
40,0.5,1.17E-04,9.38E-04,225.170818
40,0.75,1.17E-04,9.38E-04,374.2392266
40,1,1.17E-04,9.38E-04,523.3076352
48,0,1.17E-04,9.38E-04,-71.51105793
48,0.25,1.17E-04,9.38E-04,74.19519743
48,0.5,1.17E-04,9.38E-04,219.9014528
48,0.75,1.17E-04,9.38E-04,365.6077082
48,1,1.17E-04,9.38E-04,511.3139635
