n,A,E,dd,d,hh,h,V
2,0.0,1,0.03125,1.8310546875e-06,0.00390625,5.859375e-05,-960.028914309529
2,0.0,1,0.03125,3.662109375e-06,0.0078125,0.0001171875,-1172.8500105376866
2,0.0,1,0.03125,7.32421875e-06,0.015625,0.000234375,-1359.8167755464967
2,0.0,1,0.03125,1.46484375e-05,0.03125,0.00046875,-1490.9290712400302
2,0.0,1,0.03125,2.9296875e-05,0.0625,0.0009375,-1593.7699447525074
2,0.0,1,0.03125,5.859375e-05,0.125,0.001875,-1627.0513254128766
2,0.0,1,0.03125,0.0001171875,0.25,0.00375,-1569.409434271994
2,0.0,1,0.03125,0.000234375,0.5,0.0075,-1449.1740443923306
2,0.0,1,0.03125,0.00046875,1.0,0.015,-1364.0250175337867
2,0.0,1,0.0625,3.662109375e-06,0.00390625,5.859375e-05,-966.3491876703392
2,0.0,1,0.0625,7.32421875e-06,0.0078125,0.0001171875,-1182.8501231890623
2,0.0,1,0.0625,1.46484375e-05,0.015625,0.000234375,-1369.5850802973844
2,0.0,1,0.0625,2.9296875e-05,0.03125,0.00046875,-1503.6486123481973
2,0.0,1,0.0625,5.859375e-05,0.0625,0.0009375,-1608.4934672317404
2,0.0,1,0.0625,0.0001171875,0.125,0.001875,-1649.0207336677715
2,0.0,1,0.0625,0.000234375,0.25,0.00375,-1597.9649836809808
2,0.0,1,0.0625,0.00046875,0.5,0.0075,-1488.2534689072056
2,0.0,1,0.0625,0.0009375,1.0,0.015,-1426.9335648766591
2,0.0,1,0.125,7.32421875e-06,0.00390625,5.859375e-05,-979.5020511935576
2,0.0,1,0.125,1.46484375e-05,0.0078125,0.0001171875,-1200.0857495982884
2,0.0,1,0.125,2.9296875e-05,0.015625,0.000234375,-1388.0691319804966
2,0.0,1,0.125,5.859375e-05,0.03125,0.00046875,-1530.0335407695434
2,0.0,1,0.125,0.0001171875,0.0625,0.0009375,-1641.7657092899894
2,0.0,1,0.125,0.000234375,0.125,0.001875,-1688.8799611264826
2,0.0,1,0.125,0.00046875,0.25,0.00375,-1650.4542362257816
2,0.0,1,0.125,0.0009375,0.5,0.0075,-1574.4213376113307
2,0.0,1,0.125,0.001875,1.0,0.015,-1565.1379833087235
2,0.0,1,0.25,1.46484375e-05,0.00390625,5.859375e-05,-1014.351556860766
2,0.0,1,0.25,2.9296875e-05,0.0078125,0.0001171875,-1237.826200121621
2,0.0,1,0.25,5.859375e-05,0.015625,0.000234375,-1425.5758826705282
2,0.0,1,0.25,0.0001171875,0.03125,0.00046875,-1576.740723904311
2,0.0,1,0.25,0.000234375,0.0625,0.0009375,-1699.2369862641335
2,0.0,1,0.25,0.00046875,0.125,0.001875,-1761.8745628979932
2,0.0,1,0.25,0.0009375,0.25,0.00375,-1764.7619000484085
2,0.0,1,0.25,0.001875,0.5,0.0075,-1754.6404524194206
2,0.0,1,0.25,0.00375,1.0,0.015,-1846.7811580875248
2,0.0,1,0.5,2.9296875e-05,0.00390625,5.859375e-05,-1079.6881650923815
2,0.0,1,0.5,5.859375e-05,0.0078125,0.0001171875,-1301.1673727009183
2,0.0,1,0.5,0.0001171875,0.015625,0.000234375,-1495.2848605378472
2,0.0,1,0.5,0.000234375,0.03125,0.00046875,-1656.2956083791555
2,0.0,1,0.5,0.00046875,0.0625,0.0009375,-1801.2919997605363
2,0.0,1,0.5,0.0009375,0.125,0.001875,-1911.335076399584
2,0.0,1,0.5,0.001875,0.25,0.00375,-1991.1148524651903
2,0.0,1,0.5,0.00375,0.5,0.0075,-2105.042343178356
2,0.0,1,0.5,0.0075,1.0,0.015,-2361.9901925644945
