n,A,E,dd,d,hh,h,V
3,0.0,1,0.125,0.000117,0.0625,0.000938,-1185.283947
3,0.25,1,0.125,0.000117,0.0625,0.000938,-769.4184404
3,0.5,1,0.125,0.000117,0.0625,0.000938,-353.5529336
3,0.75,1,0.125,0.000117,0.0625,0.000938,62.31257323
3,1.0,1,0.125,0.000117,0.0625,0.000938,478.17808
5,0.0,1,0.125,0.000117,0.0625,0.000938,-753.2996318
5,0.25,1,0.125,0.000117,0.0625,0.000938,-444.7631117
5,0.5,1,0.125,0.000117,0.0625,0.000938,-136.2265917
5,0.75,1,0.125,0.000117,0.0625,0.000938,172.3099284
5,1.0,1,0.125,0.000117,0.0625,0.000938,480.8464484
6,0.0,1,0.125,0.000117,0.0625,0.000938,-637.6789324
6,0.25,1,0.125,0.000117,0.0625,0.000938,-357.8901398
6,0.5,1,0.125,0.000117,0.0625,0.000938,-78.10134728
6,0.75,1,0.125,0.000117,0.0625,0.000938,201.6874453
6,1.0,1,0.125,0.000117,0.0625,0.000938,481.4762378
7,0.0,1,0.125,0.000117,0.0625,0.000938,-553.4910594
7,0.25,1,0.125,0.000117,0.0625,0.000938,-294.6321403
7,0.5,1,0.125,0.000117,0.0625,0.000938,-35.77322121
7,0.75,1,0.125,0.000117,0.0625,0.000938,223.0856979
7,1.0,1,0.125,0.000117,0.0625,0.000938,481.944617
9,0.0,1,0.125,0.000117,0.0625,0.000938,-438.4857176
9,0.25,1,0.125,0.000117,0.0625,0.000938,-208.2385596
9,0.5,1,0.125,0.000117,0.0625,0.000938,22.00859845
9,0.75,1,0.125,0.000117,0.0625,0.000938,252.2557565
9,1.0,1,0.125,0.000117,0.0625,0.000938,482.5029145
10,0.0,1,0.125,0.000117,0.0625,0.000938,-397.692844
10,0.25,1,0.125,0.000117,0.0625,0.000938,-177.6090116
10,0.5,1,0.125,0.000117,0.0625,0.000938,42.47482081
10,0.75,1,0.125,0.000117,0.0625,0.000938,262.5586532
10,1.0,1,0.125,0.000117,0.0625,0.000938,482.6424856
12,0.0,1,0.125,0.000117,0.0625,0.000938,-335.6275412
12,0.25,1,0.125,0.000117,0.0625,0.000938,-130.9990955
12,0.5,1,0.125,0.000117,0.0625,0.000938,73.62935012
12,0.75,1,0.125,0.000117,0.0625,0.000938,278.2577958
12,1.0,1,0.125,0.000117,0.0625,0.000938,482.8862415
14,0.0,1,0.125,0.000117,0.0625,0.000938,-290.8401234
14,0.25,1,0.125,0.000117,0.0625,0.000938,-97.40598496
14,0.5,1,0.125,0.000117,0.0625,0.000938,96.02815349
14,0.75,1,0.125,0.000117,0.0625,0.000938,289.4622919
14,1.0,1,0.125,0.000117,0.0625,0.000938,482.8964304
18,0.0,1,0.125,0.000117,0.0625,0.000938,-230.5154111
18,0.25,1,0.125,0.000117,0.0625,0.000938,-52.23375231
18,0.5,1,0.125,0.000117,0.0625,0.000938,126.0479064
18,0.75,1,0.125,0.000117,0.0625,0.000938,304.3295652
18,1.0,1,0.125,0.000117,0.0625,0.000938,482.6112239
20,0.0,1,0.125,0.000117,0.0625,0.000938,-209.509038
20,0.25,1,0.125,0.000117,0.0625,0.000938,-36.5169592
20,0.5,1,0.125,0.000117,0.0625,0.000938,136.4751196
20,0.75,1,0.125,0.000117,0.0625,0.000938,309.4671984
20,1.0,1,0.125,0.000117,0.0625,0.000938,482.4592772
24,0.0,1,0.125,0.000117,0.0625,0.000938,-178.2876251
24,0.25,1,0.125,0.000117,0.0625,0.000938,-13.2604132
24,0.5,1,0.125,0.000117,0.0625,0.000938,151.7667987
24,0.75,1,0.125,0.000117,0.0625,0.000938,316.7940107
24,1.0,1,0.125,0.000117,0.0625,0.000938,481.8212226
36,0.0,1,0.125,0.000117,0.0625,0.000938,-128.3154071
36,0.25,1,0.125,0.000117,0.0625,0.000938,23.65510161
36,0.5,1,0.125,0.000117,0.0625,0.000938,175.6256103
36,0.75,1,0.125,0.000117,0.0625,0.000938,327.596119
36,1.0,1,0.125,0.000117,0.0625,0.000938,479.5666277
40,0.0,1,0.125,0.000117,0.0625,0.000938,-118.8940863
40,0.25,1,0.125,0.000117,0.0625,0.000938,30.55664957
40,0.5,1,0.125,0.000117,0.0625,0.000938,180.0073855
40,0.75,1,0.125,0.000117,0.0625,0.000938,329.4581214
40,1.0,1,0.125,0.000117,0.0625,0.000938,478.9088573
48,0.0,1,0.125,0.000117,0.0625,0.000938,-105.3765086
48,0.25,1,0.125,0.000117,0.0625,0.000938,40.3652673
48,0.5,1,0.125,0.000117,0.0625,0.000938,186.1070432
48,0.75,1,0.125,0.000117,0.0625,0.000938,331.8488191
48,1.0,1,0.125,0.000117,0.0625,0.000938,477.590595
