n,A,E,dd,d,hh,h,V
3,0.0,1,0.125,0.000117,0.0625,0.000938,-101.8324309
3,0.25,1,0.125,0.000117,0.0625,0.000938,122.1137383
3,0.5,1,0.125,0.000117,0.0625,0.000938,346.0599076
3,0.75,1,0.125,0.000117,0.0625,0.000938,570.0060768
3,1.0,1,0.125,0.000117,0.0625,0.000938,793.952246
5,0.0,1,0.125,0.000117,0.0625,0.000938,-96.11208491
5,0.25,1,0.125,0.000117,0.0625,0.000938,113.4393101
5,0.5,1,0.125,0.000117,0.0625,0.000938,322.9907051
5,0.75,1,0.125,0.000117,0.0625,0.000938,532.5421002
5,1.0,1,0.125,0.000117,0.0625,0.000938,742.0934952
6,0.0,1,0.125,0.000117,0.0625,0.000938,-93.87670141
6,0.25,1,0.125,0.000117,0.0625,0.000938,110.0137011
6,0.5,1,0.125,0.000117,0.0625,0.000938,313.9041036
6,0.75,1,0.125,0.000117,0.0625,0.000938,517.7945062
6,1.0,1,0.125,0.000117,0.0625,0.000938,721.6849087
7,0.0,1,0.125,0.000117,0.0625,0.000938,-91.97600796
7,0.25,1,0.125,0.000117,0.0625,0.000938,107.0152808
7,0.5,1,0.125,0.000117,0.0625,0.000938,306.0065695
7,0.75,1,0.125,0.000117,0.0625,0.000938,504.9978583
7,1.0,1,0.125,0.000117,0.0625,0.000938,703.989147
9,0.0,1,0.125,0.000117,0.0625,0.000938,-88.85925783
9,0.25,1,0.125,0.000117,0.0625,0.000938,102.0196811
9,0.5,1,0.125,0.000117,0.0625,0.000938,292.89862
9,0.75,1,0.125,0.000117,0.0625,0.000938,483.7775589
9,1.0,1,0.125,0.000117,0.0625,0.000938,674.6564977
10,0.0,1,0.125,0.000117,0.0625,0.000938,-87.54541337
10,0.25,1,0.125,0.000117,0.0625,0.000938,99.92558026
10,0.5,1,0.125,0.000117,0.0625,0.000938,287.3965739
10,0.75,1,0.125,0.000117,0.0625,0.000938,474.8675675
10,1.0,1,0.125,0.000117,0.0625,0.000938,662.3385611
12,0.0,1,0.125,0.000117,0.0625,0.000938,-85.29738541
12,0.25,1,0.125,0.000117,0.0625,0.000938,96.31695718
12,0.5,1,0.125,0.000117,0.0625,0.000938,277.9312998
12,0.75,1,0.125,0.000117,0.0625,0.000938,459.5456424
12,1.0,1,0.125,0.000117,0.0625,0.000938,641.1599849
14,0.0,1,0.125,0.000117,0.0625,0.000938,-83.53378713
14,0.25,1,0.125,0.000117,0.0625,0.000938,93.25354489
14,0.5,1,0.125,0.000117,0.0625,0.000938,270.0408769
14,0.75,1,0.125,0.000117,0.0625,0.000938,446.8282089
14,1.0,1,0.125,0.000117,0.0625,0.000938,623.615541
18,0.0,1,0.125,0.000117,0.0625,0.000938,-80.66982326
18,0.25,1,0.125,0.000117,0.0625,0.000938,88.46252016
18,0.5,1,0.125,0.000117,0.0625,0.000938,257.5948636
18,0.75,1,0.125,0.000117,0.0625,0.000938,426.727207
18,1.0,1,0.125,0.000117,0.0625,0.000938,595.8595504
20,0.0,1,0.125,0.000117,0.0625,0.000938,-79.46190619
20,0.25,1,0.125,0.000117,0.0625,0.000938,86.59999763
20,0.5,1,0.125,0.000117,0.0625,0.000938,252.6619014
20,0.75,1,0.125,0.000117,0.0625,0.000938,418.7238053
20,1.0,1,0.125,0.000117,0.0625,0.000938,584.7857091
24,0.0,1,0.125,0.000117,0.0625,0.000938,-77.62539265
24,0.25,1,0.125,0.000117,0.0625,0.000938,83.3928337
24,0.5,1,0.125,0.000117,0.0625,0.000938,244.4110601
24,0.75,1,0.125,0.000117,0.0625,0.000938,405.4292864
24,1.0,1,0.125,0.000117,0.0625,0.000938,566.4475127
36,0.0,1,0.125,0.000117,0.0625,0.000938,-73.83220387
36,0.25,1,0.125,0.000117,0.0625,0.000938,77.37330583
36,0.5,1,0.125,0.000117,0.0625,0.000938,228.5788155
36,0.75,1,0.125,0.000117,0.0625,0.000938,379.7843252
36,1.0,1,0.125,0.000117,0.0625,0.000938,530.9898349
40,0.0,1,0.125,0.000117,0.0625,0.000938,-72.96599919
40,0.25,1,0.125,0.000117,0.0625,0.000938,76.10240942
40,0.5,1,0.125,0.000117,0.0625,0.000938,225.170818
40,0.75,1,0.125,0.000117,0.0625,0.000938,374.2392266
40,1.0,1,0.125,0.000117,0.0625,0.000938,523.3076352
48,0.0,1,0.125,0.000117,0.0625,0.000938,-71.51105793
48,0.25,1,0.125,0.000117,0.0625,0.000938,74.19519743
48,0.5,1,0.125,0.000117,0.0625,0.000938,219.9014528
48,0.75,1,0.125,0.000117,0.0625,0.000938,365.6077082
48,1.0,1,0.125,0.000117,0.0625,0.000938,511.3139635
