n,E,dd,hh,inv_C_start,inv_C_end,Qsc_start,Qsc_end,Qsc_MACRS,Voc_MACRS,FOMS
2,1,0.03125,0.00390625,18612468231,2.80913E+11,1.07314E-10,3.41753E-09,3.31021E-09,958.0315346,0.034895704
2,1,0.03125,0.0078125,36486523699,3.49942E+11,1.07269E-10,3.35155E-09,3.24428E-09,1168.936145,0.04324473
2,1,0.03125,0.015625,70501158433,4.20313E+11,1.07464E-10,3.23525E-09,3.12778E-09,1352.240446,0.051052443
2,1,0.03125,0.03125,1.33355E+11,4.91026E+11,1.08086E-10,3.03635E-09,2.92827E-09,1476.515265,0.056924291
2,1,0.03125,0.0625,2.43936E+11,5.83858E+11,1.09486E-10,2.72972E-09,2.62023E-09,1567.062334,0.060426668
2,1,0.03125,0.125,4.24386E+11,7.07719E+11,1.12343E-10,2.29901E-09,2.18666E-09,1579.37433,0.05755421
2,1,0.03125,0.25,6.92109E+11,8.81913E+11,1.19172E-10,1.77955E-09,1.66038E-09,1486.929572,0.046137207
2,1,0.03125,0.5,1.03961E+12,1.12641E+12,1.34077E-10,1.28655E-09,1.15247E-09,1309.785901,0.030587638
2,1,0.03125,1,1.41937E+12,1.44112E+12,1.65034E-10,9.46502E-10,7.81469E-10,1129.780846,0.018573342
2,1,0.0625,0.00390625,19154178347,2.82641E+11,2.08161E-10,3.419E-09,3.21084E-09,962.3620269,0.033080712
2,1,0.0625,0.0078125,37529182696,3.52772E+11,2.08528E-10,3.35302E-09,3.14449E-09,1175.024256,0.041032356
2,1,0.0625,0.015625,72497691645,4.23137E+11,2.08534E-10,3.23656E-09,3.02803E-09,1354.389473,0.048317778
2,1,0.0625,0.03125,1.36966E+11,4.94805E+11,2.09731E-10,3.03887E-09,2.82914E-09,1474.922689,0.053764364
2,1,0.0625,0.0625,2.50095E+11,5.88495E+11,2.11913E-10,2.73323E-09,2.52132E-09,1555.494955,0.056680208
2,1,0.0625,0.125,4.34343E+11,7.14642E+11,2.17203E-10,2.30748E-09,2.09028E-09,1554.679966,0.05337617
2,1,0.0625,0.25,7.06144E+11,8.90923E+11,2.2931E-10,1.79361E-09,1.5643E-09,1436.03889,0.041551539
2,1,0.0625,0.5,1.05543E+12,1.13847E+12,2.54208E-10,1.30733E-09,1.05312E-09,1220.053566,0.025870011
2,1,0.0625,1,1.43524E+12,1.45535E+12,3.05822E-10,9.80475E-10,6.74653E-10,988.0051523,0.013988583
2,1,0.125,0.00390625,20272910184,2.86295E+11,3.93259E-10,3.42131E-09,3.02805E-09,971.5295411,0.029886669
2,1,0.125,0.0078125,39684024994,3.57647E+11,3.93297E-10,3.3555E-09,2.9622E-09,1184.478141,0.037068805
2,1,0.125,0.015625,76426578534,4.28509E+11,3.93848E-10,3.2401E-09,2.84625E-09,1358.309457,0.043491835
2,1,0.125,0.03125,1.44156E+11,5.02459E+11,3.95564E-10,3.04509E-09,2.64953E-09,1473.010439,0.048262361
2,1,0.125,0.0625,2.62473E+11,5.98377E+11,3.99356E-10,2.74323E-09,2.34387E-09,1536.664807,0.050283051
2,1,0.125,0.125,4.53761E+11,7.2709E+11,4.08049E-10,2.3229E-09,1.91485E-09,1503.801825,0.046035383
2,1,0.125,0.25,7.32072E+11,9.07725E+11,4.26156E-10,1.81823E-09,1.39208E-09,1338.477791,0.033786405
2,1,0.125,0.5,1.08625E+12,1.16236E+12,4.64446E-10,1.3545E-09,8.90054E-10,1069.918222,0.018939709
2,1,0.125,1,1.46561E+12,1.483E+12,5.41174E-10,1.05539E-09,5.14213E-10,771.9879687,0.008289514
2,1,0.25,0.00390625,22462144098,2.96381E+11,7.07328E-10,3.42743E-09,2.7201E-09,999.9356096,0.02508257
2,1,0.25,0.0078125,43917780412,3.68353E+11,7.07631E-10,3.36043E-09,2.6528E-09,1206.748625,0.03084735
2,1,0.25,0.015625,84383861896,4.39199E+11,7.08717E-10,3.24586E-09,2.53714E-09,1365.771637,0.035834369
2,1,0.25,0.03125,1.58395E+11,5.16246E+11,7.10742E-10,3.05424E-09,2.3435E-09,1464.162944,0.039393881
2,1,0.25,0.0625,2.86524E+11,6.15712E+11,7.15833E-10,2.75979E-09,2.04396E-09,1494.133468,0.040076538
2,1,0.25,0.125,4.90142E+11,7.49781E+11,7.26848E-10,2.34985E-09,1.623E-09,1405.616233,0.034726434
2,1,0.25,0.25,7.81656E+11,9.41611E+11,7.50582E-10,1.87419E-09,1.12361E-09,1178.065137,0.02313193
2,1,0.25,0.5,1.14424E+12,1.20802E+12,7.9905E-10,1.45249E-09,6.53441E-10,840.3360216,0.010678856
2,1,0.25,1,1.52026E+12,1.53352E+12,8.91572E-10,1.20427E-09,3.12703E-10,491.3629592,0.003174882
2,1,0.5,0.00390625,26842427101,3.14613E+11,1.17852E-09,3.43157E-09,2.25305E-09,1047.98439,0.018429081
2,1,0.5,0.0078125,52258586703,3.86337E+11,1.17882E-09,3.36796E-09,2.18914E-09,1239.563777,0.0223479
2,1,0.5,0.015625,99939516774,4.59311E+11,1.17959E-09,3.2555E-09,2.07591E-09,1377.397192,0.025624063
2,1,0.5,0.03125,1.8603E+11,5.39522E+11,1.18203E-09,3.06993E-09,1.8879E-09,1436.402704,0.027495024
2,1,0.5,0.0625,3.31856E+11,6.46203E+11,1.18621E-09,2.7875E-09,1.60129E-09,1407.641062,0.026664389
2,1,0.5,0.125,5.58229E+11,7.93927E+11,1.19614E-09,2.40744E-09,1.21131E-09,1243.617011,0.021094118
2,1,0.5,0.25,8.71953E+11,1.00412E+12,1.21701E-09,1.98295E-09,7.65933E-10,929.9350091,0.011701908
2,1,0.5,0.5,1.24507E+12,1.29032E+12,1.25817E-09,1.63141E-09,3.73242E-10,538.5359441,0.003755361
2,1,0.5,1,1.61168E+12,1.61895E+12,1.33127E-09,1.45898E-09,1.27711E-10,216.4379382,0.000560229
2,1,1,0.00390625,35424297409,3.44618E+11,1.76737E-09,3.44025E-09,1.67288E-09,1122.964578,0.01130806
2,1,1,0.0078125,68560722201,4.16327E+11,1.76688E-09,3.37786E-09,1.61098E-09,1285.154495,0.013379681
2,1,1,0.015625,1.30029E+11,4.90679E+11,1.76711E-09,3.26936E-09,1.50226E-09,1374.434554,0.014893676
2,1,1,0.03125,2.37886E+11,5.79314E+11,1.7673E-09,3.09537E-09,1.32807E-09,1372.776551,0.015324893
2,1,1,0.0625,4.15136E+11,7.01846E+11,1.76727E-09,2.83909E-09,1.07182E-09,1258.946432,0.013643183
2,1,1,0.125,6.78556E+11,8.72726E+11,1.76727E-09,2.50825E-09,7.40982E-10,989.8245315,0.009055916
2,1,1,0.25,1.02261E+12,1.11381E+12,1.76731E-09,2.16252E-09,3.95207E-10,601.362278,0.003547824
2,1,1,0.5,1.40259E+12,1.42628E+12,1.76723E-09,1.90783E-09,1.40606E-10,242.4208441,0.000594627
2,1,1,1,1.7431E+12,1.74575E+12,1.76738E-09,1.79474E-09,2.73684E-11,52.46480659,2.77847E-05
2,2,0.03125,0.00390625,9758345256,2.33179E+11,2.07314E-10,3.45123E-09,3.24391E-09,802.7312389,0.027180587
2,2,0.03125,0.0078125,19311296155,3.00893E+11,2.07136E-10,3.41116E-09,3.20402E-09,1022.394836,0.034949799
2,2,0.03125,0.015625,37920028562,3.65424E+11,2.07164E-10,3.33592E-09,3.12875E-09,1211.170016,0.041980246
2,2,0.03125,0.03125,73581943251,4.24098E+11,2.07699E-10,3.19721E-09,2.98952E-09,1340.650498,0.047290953
2,2,0.03125,0.0625,1.39957E+11,4.99091E+11,2.08943E-10,2.97302E-09,2.76408E-09,1454.563659,0.051911057
2,2,0.03125,0.125,2.57743E+11,5.95059E+11,2.11492E-10,2.62297E-09,2.41148E-09,1506.311946,0.052727976
2,2,0.03125,0.25,4.52859E+11,7.29646E+11,2.18017E-10,2.13785E-09,1.91983E-09,1461.14203,0.0463399
2,2,0.03125,0.5,7.42913E+11,9.28801E+11,2.32662E-10,1.59243E-09,1.35977E-09,1306.201384,0.032863688
2,2,0.03125,1,1.11034E+12,1.2143E+12,2.63662E-10,1.15432E-09,8.90662E-10,1108.940208,0.019606823
2,2,0.0625,0.00390625,10319453535,2.37101E+11,3.91416E-10,3.45331E-09,3.0619E-09,814.7438569,0.02466279
2,2,0.0625,0.0078125,20409756843,3.05855E+11,3.9134E-10,3.41364E-09,3.0223E-09,1036.090658,0.031686223
2,2,0.0625,0.015625,40054456719,3.70719E+11,3.91331E-10,3.33934E-09,2.94801E-09,1222.279914,0.03795639
2,2,0.0625,0.03125,77613694192,4.31063E+11,3.92076E-10,3.20384E-09,2.81177E-09,1350.629808,0.04275899
2,2,0.0625,0.0625,1.47293E+11,5.07185E+11,3.93308E-10,2.98344E-09,2.59013E-09,1455.223307,0.046683593
2,2,0.0625,0.125,2.70512E+11,6.06148E+11,3.97108E-10,2.64291E-09,2.2458E-09,1494.569635,0.047010908
2,2,0.0625,0.25,4.73297E+11,7.43185E+11,4.06465E-10,2.16783E-09,1.76137E-09,1418.722745,0.0401266
2,2,0.0625,0.5,7.71488E+11,9.46045E+11,4.26014E-10,1.63484E-09,1.20883E-09,1217.971052,0.026684635
2,2,0.0625,1,1.14584E+12,1.23604E+12,4.69367E-10,1.2157E-09,7.46333E-10,964.8356808,0.014106237
2,2,0.125,0.00390625,11451074344,2.44604E+11,7.04862E-10,3.45676E-09,2.7519E-09,837.4652122,0.020616938
2,2,0.125,0.0078125,22623866811,3.14476E+11,7.0449E-10,3.41776E-09,2.71327E-09,1058.866096,0.026385849
2,2,0.125,0.015625,44280780111,3.80421E+11,7.04408E-10,3.34535E-09,2.64094E-09,1241.449871,0.031494025
2,2,0.125,0.03125,85588577917,4.43709E+11,7.04581E-10,3.21533E-09,2.51075E-09,1366.369646,0.035475938
2,2,0.125,0.0625,1.61779E+11,5.22085E+11,7.05832E-10,3.00171E-09,2.29588E-09,1452.959876,0.038326116
2,2,0.125,0.125,2.95204E+11,6.23915E+11,7.09229E-10,2.67078E-09,1.96155E-09,1456.975024,0.037600914
2,2,0.125,0.25,5.11163E+11,7.65471E+11,7.16917E-10,2.21083E-09,1.49391E-09,1325.860054,0.030292837
2,2,0.125,0.5,8.2323E+11,9.77403E+11,7.36281E-10,1.70923E-09,9.72953E-10,1064.480872,0.018123188
2,2,0.125,1,1.20561E+12,1.27496E+12,7.82857E-10,1.32451E-09,5.41657E-10,744.8777078,0.007737966
2,2,0.25,0.00390625,13692403521,2.60576E+11,1.1749E-09,3.46223E-09,2.28732E-09,886.0843696,0.015256536
2,2,0.25,0.0078125,27005143239,3.30745E+11,1.17442E-09,3.42459E-09,2.25016E-09,1100.949766,0.019258988
2,2,0.25,0.015625,52685123013,3.96891E+11,1.17371E-09,3.35457E-09,2.18086E-09,1269.562273,0.022734418
2,2,0.25,0.03125,1.01238E+11,4.63623E+11,1.17235E-09,3.23024E-09,2.0579E-09,1378.928391,0.025433953
2,2,0.25,0.0625,1.89693E+11,5.45738E+11,1.17125E-09,3.02598E-09,1.85473E-09,1429.212155,0.026898594
2,2,0.25,0.125,3.41197E+11,6.52689E+11,1.16879E-09,2.7093E-09,1.54051E-09,1369.544126,0.025077896
2,2,0.25,0.25,5.79848E+11,8.06742E+11,1.16714E-09,2.28486E-09,1.11772E-09,1166.528425,0.018417867
2,2,0.25,0.5,9.11898E+11,1.03378E+12,1.17156E-09,1.83467E-09,6.63104E-10,828.2909651,0.009096182
2,2,0.25,1,1.29831E+12,1.3417E+12,1.19704E-09,1.50561E-09,3.08573E-10,465.9512256,0.002672677
2,2,0.5,0.00390625,18150152741,2.85668E+11,1.76293E-09,3.46987E-09,1.70694E-09,959.2321429,0.009411846
2,2,0.5,0.0078125,35637036961,3.5619E+11,1.7619E-09,3.4337E-09,1.6718E-09,1160.259948,0.011643586
2,2,0.5,0.015625,69096344724,4.23743E+11,1.75979E-09,3.36676E-09,1.60696E-09,1305.043594,0.013531404
2,2,0.5,0.03125,1.31382E+11,4.9371E+11,1.75638E-09,3.24917E-09,1.49279E-09,1373.390872,0.014810447
2,2,0.5,0.0625,2.41794E+11,5.82891E+11,1.74888E-09,3.05767E-09,1.30879E-09,1359.419249,0.015019381
2,2,0.5,0.125,4.24251E+11,7.04394E+11,1.73528E-09,2.77185E-09,1.03657E-09,1216.279028,0.01289372
2,2,0.5,0.25,6.9733E+11,8.78976E+11,1.71287E-09,2.40158E-09,6.88712E-10,916.4980936,0.007949524
2,2,0.5,0.5,1.05143E+12,1.13045E+12,1.6821E-09,2.0277E-09,3.45607E-10,523.6094783,0.002770914
2,2,0.5,1,1.42988E+12,1.44888E+12,1.6568E-09,1.77484E-09,1.18039E-10,202.5026999,0.000426465
2,2,1,0.00390625,26908527137,3.23844E+11,2.35158E-09,3.47854E-09,1.12696E-09,1063.226332,0.004736315
2,2,1,0.0078125,52466509412,3.93424E+11,2.3498E-09,3.4438E-09,1.094E-09,1231.587138,0.005673962
2,2,1,0.015625,1.00656E+11,4.61566E+11,2.34646E-09,3.38027E-09,1.03382E-09,1324.034128,0.006388806
2,2,1,0.03125,1.87471E+11,5.40047E+11,2.33893E-09,3.27286E-09,9.3393E-10,1329.017245,0.006746802
2,2,1,0.0625,3.35192E+11,6.45814E+11,2.3242E-09,3.10399E-09,7.79784E-10,1225.544234,0.006342303
2,2,1,0.125,5.64826E+11,7.91784E+11,2.29597E-09,2.86176E-09,5.65793E-10,969.072558,0.004617387
2,2,1,0.25,8.80471E+11,1.00016E+12,2.24593E-09,2.56519E-09,3.19265E-10,588.1191295,0.002038125
2,2,1,0.5,1.24815E+12,1.285E+12,2.16783E-09,2.28727E-09,1.19443E-10,233.3728577,0.000384246
2,2,1,1,1.59466E+12,1.59976E+12,2.07106E-09,2.09535E-09,2.42915E-11,49.43239315,2.00414E-05
2,3,0.03125,0.00390625,6735761947,2.01206E+11,3.01625E-10,3.4636E-09,3.16197E-09,694.8653859,0.022104686
2,3,0.03125,0.0078125,13372778637,2.67285E+11,3.01321E-10,3.43335E-09,3.13203E-09,913.6553598,0.029272235
2,3,0.03125,0.015625,26406415487,3.28894E+11,3.01175E-10,3.37462E-09,3.07344E-09,1101.939336,0.035683902
2,3,0.03125,0.03125,51711964364,3.81728E+11,3.01561E-10,3.26235E-09,2.96078E-09,1229.733075,0.040398775
2,3,0.03125,0.0625,99822469614,4.4907E+11,3.0256E-10,3.07983E-09,2.77727E-09,1352.856336,0.045014129
2,3,0.03125,0.125,1.88124E+11,5.31789E+11,3.04463E-10,2.7821E-09,2.47764E-09,1422.215491,0.046987516
2,3,0.03125,0.25,3.41822E+11,6.45858E+11,3.09981E-10,2.34394E-09,2.03396E-09,1407.893229,0.043443574
2,3,0.03125,0.5,5.86724E+11,8.15893E+11,3.22867E-10,1.80305E-09,1.48018E-09,1281.66379,0.032673584
2,3,0.03125,1,9.25734E+11,1.07381E+12,3.50903E-10,1.32083E-09,9.6993E-10,1093.48389,0.020000385
2,3,0.0625,0.00390625,7302812400,2.06876E+11,5.55485E-10,3.46626E-09,2.91078E-09,713.0300746,0.019293909
2,3,0.0625,0.0078125,14489954290,2.7432E+11,5.55205E-10,3.43668E-09,2.88147E-09,934.7042815,0.025495719
2,3,0.0625,0.015625,28591159284,3.36946E+11,5.54873E-10,3.37966E-09,2.82478E-09,1122.897524,0.031011846
2,3,0.0625,0.03125,55904742496,3.92258E+11,5.55167E-10,3.27215E-09,2.71698E-09,1252.489146,0.03517504
2,3,0.0625,0.0625,1.07637E+11,4.61027E+11,5.55365E-10,3.09532E-09,2.53996E-09,1367.24867,0.039006321
2,3,0.0625,0.125,2.02175E+11,5.47297E+11,5.57319E-10,2.81019E-09,2.25287E-09,1425.333038,0.04044401
