n,E,dd,hh,inv_C_start,inv_C_end,Qsc_start,Qsc_end,Qsc_MACRS,Voc_MACRS,FOMS
3,4,8.000000000000000e-02,5.000000000000000e-02,7.304971065432545e+10,3.183429052690109e+11,8.518897672747338e-10,3.130059998221036e-09,2.278170230946303e-09,9.342020924911997e+02,3.239680774203286e-02
5,4,8.000000000000000e-02,5.000000000000000e-02,7.147040152410608e+10,2.203695924802936e+11,8.498470603934341e-10,2.931227919195630e-09,2.081380858802196e-09,5.852145913795999e+02,3.360577500586515e-02
6,4,8.000000000000000e-02,5.000000000000000e-02,7.079468170025711e+10,1.943842975226030e+11,8.486846030325715e-10,2.842412316538853e-09,1.993727713506282e-09,4.924379650843998e+02,3.362157291589776e-02
7,4,8.000000000000000e-02,5.000000000000000e-02,7.018203636473468e+10,1.753798811600933e+11,8.476159738432922e-10,2.759438583255922e-09,1.911822609412630e-09,4.244625957003999e+02,3.340028967564158e-02
9,4,8.000000000000000e-02,5.000000000000000e-02,6.910814795905948e+10,1.494740082210203e+11,8.453622109712672e-10,2.609417648874883e-09,1.764055437903616e-09,3.316186983451999e+02,3.254450456495929e-02
10,4,8.000000000000000e-02,5.000000000000000e-02,6.863369152840971e+10,1.401587930735893e+11,8.442373962824866e-10,2.540610506777397e-09,1.696373110494910e-09,2.981457732668000e+02,3.194137537499035e-02
12,4,8.000000000000000e-02,5.000000000000000e-02,6.777737995237820e+10,1.259825365796103e+11,8.419196289867459e-10,2.414530572082730e-09,1.572610943095984e-09,2.471255795368000e+02,3.056917810823742e-02
14,4,8.000000000000000e-02,5.000000000000000e-02,6.702588431055532e+10,1.155869781538142e+11,8.395526589469890e-10,2.300156743004416e-09,1.460604084057427e-09,2.095964078127999e+02,2.899481965704055e-02
18,4,8.000000000000000e-02,5.000000000000000e-02,6.575757848134397e+10,1.015074925530202e+11,8.347901292437929e-10,2.104097354059261e-09,1.269307224815468e-09,1.586878690587999e+02,2.578738232810444e-02
20,4,8.000000000000000e-02,5.000000000000000e-02,6.520897002272680e+10,9.646517487277208e+10,8.319896415645199e-10,2.018328497727679e-09,1.186338856163159e-09,1.404452238879999e+02,2.419268491313869e-02
24,4,8.000000000000000e-02,5.000000000000000e-02,6.427482268615145e+10,8.885899113881802e+10,8.275971159740123e-10,1.868118877533410e-09,1.040521761559398e-09,1.128055009002000e+02,2.115342360206645e-02
36,4,8.000000000000000e-02,5.000000000000000e-02,6.223451434748192e+10,7.620728626071182e+10,8.129738381745261e-10,1.542140769583969e-09,7.291669314094429e-10,6.692733108599997e+01,1.408703715379686e-02
40,4,8.000000000000000e-02,5.000000000000000e-02,6.173540036263822e+10,7.367228183124059e+10,8.081007489277101e-10,1.460750167430884e-09,6.526494185031739e-10,5.772837475159999e+01,1.226476403482162e-02
48,4,8.000000000000000e-02,5.000000000000000e-02,6.088711520709623e+10,7.006177077563348e+10,7.972454958145651e-10,1.334149242720947e-09,5.369037469063816e-10,4.493088007199999e+01,9.632342263054273e-03
