n,E,dd,hh,inv_C_start,inv_C_end,Qsc_start,Qsc_end,Qsc_MACRS,Voc_MACRS,FOMS
3,1,1.250000000000000e-01,6.250000000000000e-02,2.534552164938568e+11,4.706634742239822e+11,4.017768200184906e-10,2.518325750759107e-09,2.116548930740616e-09,1.083451516180000e+03,5.173490179202605e-02
5,1,1.250000000000000e-01,6.250000000000000e-02,2.371636647192550e+11,3.491919096201187e+11,4.052563660616968e-10,2.157265420609271e-09,1.752009054547574e-09,6.571875468539999e+02,4.784094459107098e-02
6,1,1.250000000000000e-01,6.250000000000000e-02,2.307567318184113e+11,3.166561376429892e+11,4.068210738045730e-10,2.013789901950185e-09,1.606968828145612e-09,5.438022309499996e+02,4.508967960009642e-02
7,1,1.250000000000000e-01,6.250000000000000e-02,2.252120692303354e+11,2.929683664937958e+11,4.083973308816388e-10,1.889251955854835e-09,1.480854624973196e-09,4.615150514460000e+02,4.228632027013942e-02
9,1,1.250000000000000e-01,6.250000000000000e-02,2.160307673304370e+11,2.605864770370510e+11,4.113268628171021e-10,1.682687922242621e-09,1.271361059425519e-09,3.496264598119999e+02,3.685921333887355e-02
10,1,1.250000000000000e-01,6.250000000000000e-02,2.121737622802052e+11,2.490839453942630e+11,4.126118725386220e-10,1.596621746811144e-09,1.184009874272522e-09,3.101474306400000e+02,3.437559908772789e-02
12,1,1.250000000000000e-01,6.250000000000000e-02,2.055453892169138e+11,2.315920257819865e+11,4.149807773308154e-10,1.449218901483029e-09,1.034238124152214e-09,2.503301558019999e+02,2.982883569911495e-02
14,1,1.250000000000000e-01,6.250000000000000e-02,2.000823307955569e+11,2.189226616633097e+11,4.174970713798527e-10,1.328506245978751e-09,9.110091745988981e-10,2.073063362639999e+02,2.588145724399310e-02
18,1,1.250000000000000e-01,6.250000000000000e-02,1.914186559386480e+11,2.017735626868914e+11,4.214313534719182e-10,1.142446056928229e-09,7.210147034563105e-10,1.498455878320000e+02,1.955967583163130e-02
20,1,1.250000000000000e-01,6.250000000000000e-02,1.879436291768865e+11,1.957869828036457e+11,4.227964871701657e-10,1.070086657447068e-09,6.472901702769026e-10,1.300471317980000e+02,1.709426595420139e-02
24,1,1.250000000000000e-01,6.250000000000000e-02,1.822353539548488e+11,1.867725974992590e+11,4.259623116227635e-10,9.545705714175082e-10,5.286082597947446e-10,1.006622324900000e+02,1.315560565565486e-02
36,1,1.250000000000000e-01,6.250000000000000e-02,1.711296305070374e+11,1.719954322747430e+11,4.314402108579538e-10,7.460396209303444e-10,3.145994100723906e-10,5.448320322600004e+01,6.499302344300691e-03
40,1,1.250000000000000e-01,6.250000000000000e-02,1.687109268401478e+11,1.691436328368629e+11,4.324912473223180e-10,7.029178947969736e-10,2.704266474746556e-10,4.592808712600004e+01,5.253935476771082e-03
48,1,1.250000000000000e-01,6.250000000000000e-02,1.649057477719568e+11,1.649459487962756e+11,4.336480619516696e-10,6.388547846673713e-10,2.052067227157017e-10,3.386545067399997e+01,3.544370548941872e-03
