n,epsilon,dd,hh,Qsc_MACRS,inv_C_start,inv_C_end,invC_sum,FOMS,FOMS_norm_n,FOMS_norm_ne,logQ,logInvC,logFOMS,logFOMS_norm_n,logFOMS_norm_ne
2,1,3.1250000000e-02,3.9062500000e-03,3.3102100000e-09,1.8612468231e+10,2.8091300000e+11,2.9952546823e+11,3.4895704000e-02,1.7447852000e-02,1.7447852000e-02,-1.6960288907e+01,1.1476433756e+01,-1.4572280356e+00,-1.7582580313e+00,-1.7582580313e+00
2,1,3.1250000000e-02,7.8125000000e-03,3.2442800000e-09,3.6486523699e+10,3.4994200000e+11,3.8642852370e+11,4.3244730000e-02,2.1622365000e-02,2.1622365000e-02,-1.6977763341e+01,1.1587069176e+01,-1.3640668101e+00,-1.6650968057e+00,-1.6650968057e+00
2,1,3.1250000000e-02,1.5625000000e-02,3.1277800000e-09,7.0501158433e+10,4.2031300000e+11,4.9081415843e+11,5.1052443000e-02,2.5526221500e-02,2.5526221500e-02,-1.7009527603e+01,1.1690917082e+01,-1.2919834709e+00,-1.5930134666e+00,-1.5930134666e+00
2,1,3.1250000000e-02,3.1250000000e-02,2.9282700000e-09,1.3335500000e+11,4.9102600000e+11,6.2438100000e+11,5.6924291000e-02,2.8462145500e-02,2.8462145500e-02,-1.7066777764e+01,1.1795449679e+01,-1.2447023699e+00,-1.5457323655e+00,-1.5457323655e+00
2,1,3.1250000000e-02,6.2500000000e-02,2.6202300000e-09,2.4393600000e+11,5.8385800000e+11,8.2779400000e+11,6.0426668000e-02,3.0213334000e-02,3.0213334000e-02,-1.7163321171e+01,1.1917922274e+01,-1.2187713526e+00,-1.5198013483e+00,-1.5198013483e+00
2,1,3.1250000000e-02,1.2500000000e-01,2.1866600000e-09,4.2438600000e+11,7.0771900000e+11,1.1321050000e+12,5.7554210000e-02,2.8777105000e-02,2.8777105000e-02,-1.7320437479e+01,1.2053886708e+01,-1.2399229029e+00,-1.5409528986e+00,-1.5409528986e+00
2,1,3.1250000000e-02,2.5000000000e-01,1.6603800000e-09,6.9210900000e+11,8.8191300000e+11,1.5740220000e+12,4.6137207000e-02,2.3068603500e-02,2.3068603500e-02,-1.7559585013e+01,1.2197010798e+01,-1.3359486998e+00,-1.6369786955e+00,-1.6369786955e+00
2,1,3.1250000000e-02,5.0000000000e-01,1.1524700000e-09,1.0396100000e+12,1.1264100000e+12,2.1660200000e+12,3.0587638000e-02,1.5293819000e-02,1.5293819000e-02,-1.7876740742e+01,1.2335662462e+01,-1.5144540583e+00,-1.8154840539e+00,-1.8154840539e+00
2,1,3.1250000000e-02,1.0000000000e+00,7.8146900000e-10,1.4193700000e+12,1.4411200000e+12,2.8604900000e+12,1.8573342000e-02,9.2866710000e-03,9.2866710000e-03,-1.8214176491e+01,1.2456440434e+01,-1.7311099443e+00,-2.0321399400e+00,-2.0321399400e+00
2,1,6.2500000000e-02,3.9062500000e-03,3.2108400000e-09,1.9154178347e+10,2.8264100000e+11,3.0179517835e+11,3.3080712000e-02,1.6540356000e-02,1.6540356000e-02,-1.6986762671e+01,1.1479712297e+01,-1.4804251516e+00,-1.7814551473e+00,-1.7814551473e+00
